,delta_entropy_ast_edge_file_context
63,-1.958177492682859
82,-1.6313971016733342
100,-1.4852994215723703
104,2.0791439021025595
118,1.554237683721901
121,-1.5452729124562308
147,5.640980138529731
148,-5.271396581990823
189,4.655786562118872
190,-4.667291953258128
198,1.747370773803547
199,-1.523192219995075
201,-1.8981831546338372
247,1.8548311387186083
248,-1.5875513720798247
289,4.817661183609612
290,-4.656619795173899
299,2.390555988134172
300,-1.877390126308308
308,-1.8738441506134396
325,-1.9476506812524623
326,2.2096317738228284
327,-1.5226347710678059
333,-1.465735705626377
335,1.636380523732809
336,3.185479270257547
337,-4.413849848808076
342,1.652715285770135
343,-2.303444757507938
380,1.7419294416524247
381,-2.5074785860727182
388,-1.491398067560914
398,2.255139728437227
399,-1.6888497131071385
425,1.5336072345405365
461,4.338343659137613
462,-5.11975537894088
487,1.6709284231936736
501,5.370390302259705
502,-4.618512944092979
524,-2.1921446586788336
569,4.823942750371037
570,-3.113921652841871
572,-2.329982180133657
575,1.794963812640816
576,-2.145791069170808
585,-1.8325279293470542
586,2.125162633102798
587,-1.805553971996909
597,2.728590862602485
598,-1.6516195554662403
604,-1.985867406770491
622,-2.1886312205223013
628,2.177333955232203
629,-2.3094091015836797
630,2.3664531032385043
632,-2.250728524945414
645,1.5202295350893764
663,1.7280950455666528
681,4.819721302702164
682,-4.413048299880314
718,5.184166413298907
720,-4.8336849060563365
724,2.8203349504622057
725,-2.0090694192076475
726,1.9871180210986672
727,-2.1276581955025593
756,2.53027725074527
757,-1.7991010688412383
768,2.55420600880689
769,-2.3252205777961366
779,2.194938170802823
780,-1.6716197793887506
784,5.192376192184679
785,-5.190937922948886
820,1.6194484415032004
821,-2.1425230505843444
841,-1.8601501138158802
848,5.559536922219386
849,-4.872520339188093
860,-1.6064042666442289
865,1.5312109391127375
935,5.808899337345799
936,-5.808899337345799
939,4.714814757262272
940,-4.438632395659348
957,1.9702226060551864
1003,-1.6729678708667413
1055,1.5117219085323057
1093,-1.5150278090615354
1197,4.74499707053153
1198,-4.674173475520033
1201,-1.5899433052567895
1210,5.177094286792776
1211,-4.290606332784564
1242,-1.7779865421162455
1259,5.497022777764051
1260,-4.664837098850928
1316,4.106540468194977
1317,-4.101809231698677
1349,1.8896776919721683
delta_entropy_ast_edge_file_normalised,"147     0.868932
148    -0.778849
189     0.730315
190    -0.705593
231     0.253373
289     0.713211
290    -0.708786
336     0.779329
337    -0.829370
375    -0.249288
402    -0.264404
411     0.237554
412    -0.239329
427     0.279070
461     0.946211
462    -0.819433
481    -0.242618
501     0.888491
502    -0.766893
569     0.686940
570    -0.525048
572    -0.331241
576    -0.335034
586     0.275804
624    -0.242454
681     0.690774
682    -0.712952
716    -0.247292
718     0.840232
720    -0.678004
784     0.799830
785    -0.797649
840    -0.269134
848     0.872079
849    -0.703031
935     0.876239
936    -0.876239
939     0.708120
940    -0.714819
986    -0.247955
987     0.248339
1197    0.661792
1198   -0.672137
1210    0.859644
1211   -0.695407
1248   -0.240604
1259    0.732951
1260   -0.670795
1340   -0.289814
1341    0.289870
1342   -0.283657
1343    0.244132
1379    0.296045
1380   -0.280807
1381    0.297083
Name: delta_entropy_ast_edge_file_normalised, dtype: float64"
