,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,198.0
delta_entropy_ast_edge_file_normalised,63.0
delta_entropy_token_file_context,72.0
delta_entropy_token_file_normalised,58.0
delta_entropy_token_no_keywords_file_context,72.0
delta_entropy_token_no_keywords_file_normalised,58.0
delta_entropy_token_no_keywords_no_numbers_file_context,72.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,58.0
number_of_commits,0.0
commit_count,5151.0
delta_entropy_ast_edge_file_context_ratio,0.0384391380314502
delta_entropy_ast_edge_file_normalised_ratio,0.0122306348281887
delta_entropy_token_file_context_ratio,0.013977868375072802
delta_entropy_token_file_normalised_ratio,0.011259949524364201
delta_entropy_token_no_keywords_file_context_ratio,0.013977868375072802
delta_entropy_token_no_keywords_file_normalised_ratio,0.011259949524364201
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.013977868375072802
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.011259949524364201
